gene_symbol	geneID	KO12_vs_WT6_dtu_log2fold	KO12_vs_WT6_dtu_gene_padj	dtu_KO12_mean	dtu_WT6_mean	transcript_id	KO12_vs_WT6_exon_gene_padj	KO12_vs_WT6_deg_log2fold	KO12_vs_WT6_deg_pval
Ahdc1	ENSMUSG00000037692	-2.0965019159443075	0.005619743020114849	0.4521295239606395	1.9336275712125324	ENSMUST00000142524.7	0.00324197603126487	-1.3132650778735528	1.562649325468115e-5
Ahdc1	ENSMUSG00000037692	-1.6322445130437382	0.005619743020114849	1.5734154865285117	4.877507873586863	ENSMUST00000044521.13	0.00324197603126487	-1.3132650778735528	1.562649325468115e-5
Ephb2	ENSMUSG00000028664	-1.4472481378226567	0.016192245600971933	0.6077340593527452	1.6572143182642989	ENSMUST00000059287.13	0.0486140948461888	-1.4564481682656565	3.310156189611332e-4
Ephb2	ENSMUSG00000028664	-1.9239827061377663	0.016192245600971933	0.287401513739466	1.0906001596173212	ENSMUST00000105846.8	0.0486140948461888	-1.4564481682656565	3.310156189611332e-4
Padi4	ENSMUSG00000025330	-1.7157022973275307	1.5333987181746251e-13	9.034454629830092	29.674253085339842	ENSMUST00000026381.6	0.0453997910044915	-1.6066337681834275	8.60029716850771e-7
Padi4	ENSMUSG00000025330	-1.3156615775856446	1.5333987181746251e-13	0.7215686514982417	1.7961030735503525	ENSMUST00000137516.1	0.0453997910044915	-1.6066337681834275	8.60029716850771e-7
Padi3	ENSMUSG00000025328	2.1672622357994227	0.007098737195468077	2.8089000558920736	0.6253531550474366	ENSMUST00000026377.8	0.048992031439874	2.2862536529045605	7.709778284204856e-5
Smim1	ENSMUSG00000078350	1.307735904528851	0	8.625609161681039	3.4843521586833877	ENSMUST00000182191.7	0.00746802739364651	1.3348914966515366	1.2319607984343345e-6
Smim1	ENSMUSG00000078350	1.625477005063619	0	4.647427811625409	1.506243954494845	ENSMUST00000125533.8	0.00746802739364651	1.3348914966515366	1.2319607984343345e-6
Smim1	ENSMUSG00000078350	1.2950730045669074	0	19.989037102147986	8.1458433328609	ENSMUST00000130175.7	0.00746802739364651	1.3348914966515366	1.2319607984343345e-6
Smim1	ENSMUSG00000078350	1.2755864890805761	0	20.486879117336976	8.462253080272614	ENSMUST00000146054.7	0.00746802739364651	1.3348914966515366	1.2319607984343345e-6
Smim1	ENSMUSG00000078350	1.9296905196509544	0	2.1015778285209765	0.551633648371426	ENSMUST00000131325.2	0.00746802739364651	1.3348914966515366	1.2319607984343345e-6
Abcb4	ENSMUSG00000042476	1.6050579882557081	7.21848055584027e-15	2.9579401263616267	0.9723414051089254	ENSMUST00000197458.1	0.00116573763464168	1.1410905584157591	2.4248625578352577e-7
Abcb4	ENSMUSG00000042476	1.8028297223177394	7.21848055584027e-15	2.0655077431107935	0.5919990419519834	ENSMUST00000197150.1	0.00116573763464168	1.1410905584157591	2.4248625578352577e-7
Galnt11	ENSMUSG00000038072	-1.432851336927977	0.0019632508901024255	3.3317364566139895	8.99501460315566	ENSMUST00000045737.13	3.7867012861974e-4	-1.2917588405547948	1.3652202417629749e-5
Rgs12	ENSMUSG00000029101	4.436456781957795	0	12.386098968846374	0.5720420838032092	ENSMUST00000153972.7	0	1.4561939586791537	2.9043047571661625e-7
Rgs12	ENSMUSG00000029101	10.408404435808524	0	5.067942188862407	0.0037289770453903916	ENSMUST00000114284.7	0	1.4561939586791537	2.9043047571661625e-7
Rgs12	ENSMUSG00000029101	4.117333569860788	0	8.554584104030308	0.49289906432162695	ENSMUST00000114281.7	0	1.4561939586791537	2.9043047571661625e-7
Rgs12	ENSMUSG00000029101	2.0774086982053817	0	1.3096794634404234	0.3103149407996285	ENSMUST00000114283.7	0	1.4561939586791537	2.9043047571661625e-7
Gfi1	ENSMUSG00000029275	-1.6804476882087553	5.183155638515846e-10	0.9660753140906864	3.0965360832691338	ENSMUST00000031205.15	0.00869358530740252	-2.051751584306149	2.1222174946851044e-5
Gfi1	ENSMUSG00000029275	-2.3360720935689234	5.183155638515846e-10	1.710611394881731	8.637322446151883	ENSMUST00000159263.2	0.00869358530740252	-2.051751584306149	2.1222174946851044e-5
2900026A02Rik	ENSMUSG00000051339	-1.341121394185713	0.005375024129288088	1.253644777141194	3.1760860709187706	ENSMUST00000212276.1	6.89993472010451e-11	-1.1318586755755975	6.3126959298189e-5
2900026A02Rik	ENSMUSG00000051339	-1.9809313187754105	0.005375024129288088	0.8152626249472126	3.2182314838014388	ENSMUST00000050125.8	6.89993472010451e-11	-1.1318586755755975	6.3126959298189e-5
Sgsm1	ENSMUSG00000042216	-3.342454635869216	8.18112465538684e-10	0.3416903173986539	3.465866072500316	ENSMUST00000048112.12	0.00350601238397855	-3.0588366616976987	4.710054062878248e-6
Clip2	ENSMUSG00000063146	-1.4959653471763665	2.0393554921062175e-5	3.9882937967002503	11.249095013636353	ENSMUST00000036999.9	0.0214183085911314	-1.4379584487897183	1.7562358215463808e-6
Cux1	ENSMUSG00000029705	-1.392307696537639	0	7.826126005049792	20.54344226472289	ENSMUST00000176216.8	0	-1.2797492556268564	5.257495661861353e-8
Cux1	ENSMUSG00000029705	-1.4703479862015432	0	21.155949079384158	58.62074870436676	ENSMUST00000176745.7	0	-1.2797492556268564	5.257495661861353e-8
Cux1	ENSMUSG00000029705	-1.081875072887824	0	3.827493672047703	8.101983042305557	ENSMUST00000004097.15	0	-1.2797492556268564	5.257495661861353e-8
Cux1	ENSMUSG00000029705	-2.7869237649063106	0	0.3442151401880317	2.375623526513744	ENSMUST00000176778.7	0	-1.2797492556268564	5.257495661861353e-8
Cux1	ENSMUSG00000029705	-1.3546985007408523	0	3.379143336326472	8.641944997020353	ENSMUST00000176423.1	0	-1.2797492556268564	5.257495661861353e-8
Flt3	ENSMUSG00000042817	-2.2699758313907203	0	19.282869782452764	93.00418323944845	ENSMUST00000049324.12	2.30305778203321e-9	-2.1525059474933403	1.1789600464280538e-8
Hsph1	ENSMUSG00000029657	1.3417308899054519	0	15.653675097503395	6.176110698372016	ENSMUST00000074846.13	0.0459805716563782	1.0867454840114004	1.5287758508383669e-6
Hsph1	ENSMUSG00000029657	9.705091992387464	0	3.757113477417194	0.004501222820642871	ENSMUST00000202089.3	0.0459805716563782	1.0867454840114004	1.5287758508383669e-6
Hsph1	ENSMUSG00000029657	1.5360530647191126	0	12.906867080476616	4.450643313444643	ENSMUST00000201877.1	0.0459805716563782	1.0867454840114004	1.5287758508383669e-6
Hsph1	ENSMUSG00000029657	1.1811693946561366	0	2.3337397112546108	1.0291649770166424	ENSMUST00000202137.1	0.0459805716563782	1.0867454840114004	1.5287758508383669e-6
Hsph1	ENSMUSG00000029657	3.7923148758778438	0	4.1606803237493	0.3003058679936451	ENSMUST00000200805.3	0.0459805716563782	1.0867454840114004	1.5287758508383669e-6
Hsph1	ENSMUSG00000029657	1.0153319216654455	0	9.15351980126999	4.528378933912331	ENSMUST00000200825.1	0.0459805716563782	1.0867454840114004	1.5287758508383669e-6
Hsph1	ENSMUSG00000029657	2.0008018080593324	0	1.0420293447068532	0.26036259398058825	ENSMUST00000201666.1	0.0459805716563782	1.0867454840114004	1.5287758508383669e-6
Ppp1r9a	ENSMUSG00000032827	-1.1885437454657695	0.03801452706639441	1.3071846015847295	2.979368637627688	ENSMUST00000035813.8	0.0122688943602972	-1.2991499389856411	1.8143405820038983e-5
Tfec	ENSMUSG00000029553	-1.791672979788595	0.010597672368400517	2.6417674834357134	9.146225393450631	ENSMUST00000031533.10	0.00560338305839882	-1.6874647242312166	2.8444635685294965e-5
Tes	ENSMUSG00000029552	-1.4918205450601327	0	14.231936321779463	40.02641778592829	ENSMUST00000115467.10	0.0486793443402579	-1.3946219176984522	9.344918753435268e-7
Cadps2	ENSMUSG00000017978	-2.4506505612584024	0.0063006643219128055	0.38804645448266845	2.1213046675018674	ENSMUST00000115361.8	0.0179999600266599	-1.7448328441300998	5.5732843695805664e-5
Tspan33	ENSMUSG00000001763	1.490938919529848	0	71.26828328210067	25.355895959921757	ENSMUST00000046750.13	1.6547722839070301e-9	1.5224331133045474	1.409174526514585e-7
Tspan33	ENSMUSG00000001763	1.2658087885049765	0	24.73729305414436	10.287403157392344	ENSMUST00000115250.3	1.6547722839070301e-9	1.5224331133045474	1.409174526514585e-7
Tspan33	ENSMUSG00000001763	1.2473550655029617	0	1.7639058949575956	0.7429919727350351	ENSMUST00000137925.1	1.6547722839070301e-9	1.5224331133045474	1.409174526514585e-7
Tbxas1	ENSMUSG00000029925	-1.486954346518037	0	6.6519219892407655	18.645112487997228	ENSMUST00000003017.12	0.00524778525698423	-1.2952166303638109	3.4542164971744442e-6
Tbxas1	ENSMUSG00000029925	-1.3485191481836378	0	1.088788749631369	2.7726071446098484	ENSMUST00000161781.7	0.00524778525698423	-1.2952166303638109	3.4542164971744442e-6
Dennd2a	ENSMUSG00000038456	-3.031073661486006	0.013211280520687898	0.12234404153953946	1.0000619740431376	ENSMUST00000036877.9	0.0138449342702907	-2.879505296805601	0.004718871409118011
Zyx	ENSMUSG00000029860	-1.3860157184161557	1.3495671247198972e-13	23.547055544685367	61.54161853767775	ENSMUST00000203652.2	3.9013922235482e-4	-1.1339705429853826	4.511444204928394e-7
Zyx	ENSMUSG00000029860	-1.0628332137040464	1.3495671247198972e-13	12.477280955449608	26.06541428844514	ENSMUST00000070635.12	3.9013922235482e-4	-1.1339705429853826	4.511444204928394e-7
Zyx	ENSMUSG00000029860	-1.0968389077563256	1.3495671247198972e-13	1.609285068069461	3.442027955777678	ENSMUST00000203290.2	3.9013922235482e-4	-1.1339705429853826	4.511444204928394e-7
Zyx	ENSMUSG00000029860	-1.324404472433283	1.3495671247198972e-13	6.341317757297486	15.880529847818176	ENSMUST00000203849.1	3.9013922235482e-4	-1.1339705429853826	4.511444204928394e-7
Zyx	ENSMUSG00000029860	-1.4654816949964449	1.3495671247198972e-13	1.1725121075137683	3.2379585451755135	ENSMUST00000204270.2	3.9013922235482e-4	-1.1339705429853826	4.511444204928394e-7
Arhgef5	ENSMUSG00000033542	-1.8328041408859186	0.0024847243340997737	1.2605331522636147	4.490382066775895	ENSMUST00000031750.13	0.0190222120400153	-1.7136644486415609	3.509018665570037e-5
Tmem176b	ENSMUSG00000029810	-1.7035912331823198	0	14.286498466676353	46.53265797857981	ENSMUST00000166247.7	0.0283621478563321	-1.2760139758133233	3.0669323198579666e-7
Tmem176b	ENSMUSG00000029810	-1.1495667503967655	0	28.61121253842203	63.473191756669024	ENSMUST00000101429.10	0.0283621478563321	-1.2760139758133233	3.0669323198579666e-7
Tmem176b	ENSMUSG00000029810	-1.4650508889076401	0	17.74660671544546	48.99362657281665	ENSMUST00000204073.2	0.0283621478563321	-1.2760139758133233	3.0669323198579666e-7
Tmem176b	ENSMUSG00000029810	-1.4410735269388053	0	12.115639224980935	32.89672695446863	ENSMUST00000203229.2	0.0283621478563321	-1.2760139758133233	3.0669323198579666e-7
Tmem176b	ENSMUSG00000029810	-1.755945666749493	0	2.3223640504007292	7.843729652528114	ENSMUST00000205147.2	0.0283621478563321	-1.2760139758133233	3.0669323198579666e-7
Tmem176b	ENSMUSG00000029810	-3.568432431783252	0	0.3983659426880851	4.725931275943817	ENSMUST00000203618.1	0.0283621478563321	-1.2760139758133233	3.0669323198579666e-7
Mmrn1	ENSMUSG00000054641	-1.555030806720672	5.545701512090155e-5	2.3230281145793548	6.825985838084735	ENSMUST00000129603.3	0.0313244960423199	-1.2577195547982125	7.575966562331257e-6
Mmrn1	ENSMUSG00000054641	-1.0720723462955348	5.545701512090155e-5	1.2554599835017939	2.6395434070914625	ENSMUST00000204333.1	0.0313244960423199	-1.2577195547982125	7.575966562331257e-6
Dqx1	ENSMUSG00000009145	2.488740749784098	0.014622060204914418	4.202079716427011	0.7486497258830543	ENSMUST00000077502.4	0.00937001932850149	2.619799360967588	1.3938211418508078e-5
Nagk	ENSMUSG00000034744	-1.8798787362779892	0.00700671618427617	1.6330202404677236	6.010235030830321	ENSMUST00000037376.13	4.36839285223558e-5	-1.1682988935700669	0.0014977867590735686
Nagk	ENSMUSG00000034744	-1.5542191550186513	0.00700671618427617	0.9337093905117102	2.742068578008694	ENSMUST00000146117.7	4.36839285223558e-5	-1.1682988935700669	0.0014977867590735686
Nagk	ENSMUSG00000034744	-2.655793787357648	0.00700671618427617	0.19464599947374225	1.2266455127343194	ENSMUST00000205681.1	4.36839285223558e-5	-1.1682988935700669	0.0014977867590735686
Add2	ENSMUSG00000030000	1.7204411240568158	0	6.8637697142466	2.0828515604930575	ENSMUST00000204059.2	5.7093377257443606e-9	1.3730660182704923	1.0131119556091364e-7
Add2	ENSMUSG00000030000	1.0528230541473345	0	29.646370034327216	14.290262470036081	ENSMUST00000205034.2	5.7093377257443606e-9	1.3730660182704923	1.0131119556091364e-7
Add2	ENSMUSG00000030000	1.5273599983862045	0	12.275500981122114	4.258513728546111	ENSMUST00000203724.2	5.7093377257443606e-9	1.3730660182704923	1.0131119556091364e-7
Add2	ENSMUSG00000030000	1.300969312056083	0	29.07625648031349	11.800698232518641	ENSMUST00000032069.7	5.7093377257443606e-9	1.3730660182704923	1.0131119556091364e-7
Anxa4	ENSMUSG00000029994	-1.3652533896615286	0	7.98234259964301	20.564236298884346	ENSMUST00000001187.14	0.00777381175945416	-1.2016733059379754	1.5267881483862582e-5
Camk1	ENSMUSG00000030272	-1.5080588990588324	0	6.65105538488873	18.917403539620352	ENSMUST00000032409.14	0.00825187030294559	-1.417144511402579	1.3369895181500435e-5
Camk1	ENSMUSG00000030272	-1.5554925830774788	0	0.34184215250476735	1.0047905456436848	ENSMUST00000153067.1	0.00825187030294559	-1.417144511402579	1.3369895181500435e-5
Il17re	ENSMUSG00000043088	-2.1373939408950933	0.0058951232750979726	0.9235038269343703	4.063108205089559	ENSMUST00000058548.13	0.0499163203188677	-1.9115516415207734	4.581515871141745e-5
Mical3	ENSMUSG00000051586	1.92372592456973	0.006121977153553874	2.6434382412336728	0.6967387446213166	ENSMUST00000204302.2	1.6230415116272e-5	1.2488999426492482	1.0236106208555592e-5
Mical3	ENSMUSG00000051586	3.399690117718837	0.006121977153553874	1.514852423076738	0.14353625951290713	ENSMUST00000077159.7	1.6230415116272e-5	1.2488999426492482	1.0236106208555592e-5
Phc1	ENSMUSG00000040669	-8.379110420133616	0	0.003720010474270962	1.2385334378855495	ENSMUST00000081849.9	0.033490664531661	-1.0006533871876702	0.0019780705073533995
Phc1	ENSMUSG00000040669	-1.072299743774103	0	2.4320508865592565	5.114074434187232	ENSMUST00000161054.7	0.033490664531661	-1.0006533871876702	0.0019780705073533995
Phc1	ENSMUSG00000040669	8.234343911007597	0	1.3205248155681328	0.004384923844678213	ENSMUST00000112600.8	0.033490664531661	-1.0006533871876702	0.0019780705073533995
Phc1	ENSMUSG00000040669	-1.509080902377768	0	2.0257271908733623	5.7658000166951	ENSMUST00000161149.7	0.033490664531661	-1.0006533871876702	0.0019780705073533995
Gpr162	ENSMUSG00000038390	-2.36805265597393	0.005845876544619134	0.23093948513639667	1.1922108612482487	ENSMUST00000204161.2	0.00455975598299176	-1.753938519744009	0.0013043192789143768
Amn1	ENSMUSG00000068250	-3.6165876692710075	5.636567660167169e-4	0.1571542571623573	1.9276470612232601	ENSMUST00000204681.2	0.00141644757465003	-1.2752455883461775	2.701034087449545e-4
Amn1	ENSMUSG00000068250	-1.5805732621378836	5.636567660167169e-4	0.3417121651478185	1.022022371702741	ENSMUST00000152062.1	0.00141644757465003	-1.2752455883461775	2.701034087449545e-4
Pirb	ENSMUSG00000058818	-1.489390927026139	0.017752219685204917	0.5200009075892422	1.460008707546597	ENSMUST00000129493.7	0.00848345903344255	-1.0594659415410017	0.0025983247978292037
Tnnt1	ENSMUSG00000064179	-4.240191546892863	6.985682403826324e-8	0.07032636094403115	1.3290551060626679	ENSMUST00000169571.1	0.00395420441528712	-1.7089594801488655	0.020401172738553134
Zfp579	ENSMUSG00000051550	-1.9988033949500401	0.0029514205028028425	1.0122126255729953	4.045493683179602	ENSMUST00000162731.1	0.0282742653934008	-1.2924437312196155	5.225759857659315e-4
Zfp579	ENSMUSG00000051550	-1.1432746000265728	0.0029514205028028425	1.2184092288297794	2.6912443296399644	ENSMUST00000108572.1	0.0282742653934008	-1.2924437312196155	5.225759857659315e-4
Zfp579	ENSMUSG00000051550	-3.917185448905588	0.0029514205028028425	0.14541778589302137	2.1968876455669237	ENSMUST00000160808.1	0.0282742653934008	-1.2924437312196155	5.225759857659315e-4
Apoe	ENSMUSG00000002985	-1.5631072318569579	0	20.51282593373901	60.613262149461704	ENSMUST00000174064.8	3.43911462860689e-8	-1.5945721823965542	5.877947977923159e-8
Apoe	ENSMUSG00000002985	-1.6066202221056074	0	39.42348889423323	120.05933521231819	ENSMUST00000167646.8	3.43911462860689e-8	-1.5945721823965542	5.877947977923159e-8
Apoe	ENSMUSG00000002985	1.4213335036203056	0	4.162220465616157	1.5540359522505502	ENSMUST00000173739.7	3.43911462860689e-8	-1.5945721823965542	5.877947977923159e-8
Apoe	ENSMUSG00000002985	-1.883474150343501	0	43.28604945194772	159.70928543323345	ENSMUST00000174355.7	3.43911462860689e-8	-1.5945721823965542	5.877947977923159e-8
Apoe	ENSMUSG00000002985	-8.488951050439509	0	0.015221475606415714	5.468719571702183	ENSMUST00000003066.15	3.43911462860689e-8	-1.5945721823965542	5.877947977923159e-8
Apoe	ENSMUSG00000002985	-1.1524990561968305	0	0.48099880575675125	1.0692537547445764	ENSMUST00000207525.1	3.43911462860689e-8	-1.5945721823965542	5.877947977923159e-8
Plaur	ENSMUSG00000046223	-1.376767973651053	0.015971478421360673	1.8285292292359647	4.748433542182609	ENSMUST00000002284.10	0.0489269981891342	-1.3614310798177687	0.002666222467256402
Plaur	ENSMUSG00000046223	-2.4254553514860904	0.015971478421360673	0.25428505321482126	1.3660155627030683	ENSMUST00000205877.1	0.0489269981891342	-1.3614310798177687	0.002666222467256402
Pafah1b3	ENSMUSG00000005447	-1.0408848235625414	0	17.164825224224778	35.31644168079097	ENSMUST00000005583.11	0.0240151403834685	-1.030085773540589	3.155388677534886e-5
Pafah1b3	ENSMUSG00000005447	-1.518327647959862	0	3.946801305601472	11.305959579961357	ENSMUST00000148150.7	0.0240151403834685	-1.030085773540589	3.155388677534886e-5
Gmfg	ENSMUSG00000060791	-1.365716349827546	7.21848055584027e-15	111.09801051516901	286.30429869924455	ENSMUST00000078845.12	1.8905270889267e-4	-1.2892851179603584	5.110745690306923e-7
Gmfg	ENSMUSG00000060791	-2.0971871717293005	7.21848055584027e-15	0.4403021008329022	1.8839397208238196	ENSMUST00000135686.1	1.8905270889267e-4	-1.2892851179603584	5.110745690306923e-7
Gmfg	ENSMUSG00000060791	-1.9255754970602565	7.21848055584027e-15	3.278323786363476	12.45397037595147	ENSMUST00000138741.1	1.8905270889267e-4	-1.2892851179603584	5.110745690306923e-7
Zfp260	ENSMUSG00000049421	-1.6445646085430383	0.0022414672010749493	2.9273161010180058	9.152355871300847	ENSMUST00000050735.11	0.00289695503924124	-1.0015232167486268	6.56827293798678e-6
Zfp260	ENSMUSG00000049421	-1.4726767910273462	0.0022414672010749493	0.8836128525590027	2.45234694732389	ENSMUST00000130526.1	0.00289695503924124	-1.0015232167486268	6.56827293798678e-6
Hpn	ENSMUSG00000001249	1.5649557138054346	4.7941312546887326e-14	49.710135377343384	16.80143337516065	ENSMUST00000039435.14	0.00845932208531613	1.5985004326873868	1.7459202665899465e-6
Hpn	ENSMUSG00000001249	1.0810197834466155	4.7941312546887326e-14	1.1721877905525944	0.5540868110528832	ENSMUST00000165124.7	0.00845932208531613	1.5985004326873868	1.7459202665899465e-6
Hpn	ENSMUSG00000001249	1.2886505425656771	4.7941312546887326e-14	2.63798840417465	1.0798176327259892	ENSMUST00000171225.1	0.00845932208531613	1.5985004326873868	1.7459202665899465e-6
Hpn	ENSMUSG00000001249	1.090163375444456	4.7941312546887326e-14	2.3588220213480717	1.1079579993561275	ENSMUST00000164340.1	0.00845932208531613	1.5985004326873868	1.7459202665899465e-6
Gramd1a	ENSMUSG00000001248	-1.8821668940006484	4.2625659321557605e-14	11.141749202278787	41.07164242531729	ENSMUST00000185985.6	0.0183673182628959	-1.576907260136986	1.9936556409520376e-6
Gramd1a	ENSMUSG00000001248	-1.776104366515859	4.2625659321557605e-14	2.0692618328509305	7.087223636609798	ENSMUST00000186634.6	0.0183673182628959	-1.576907260136986	1.9936556409520376e-6
Gramd1a	ENSMUSG00000001248	-1.3714750563685587	4.2625659321557605e-14	7.581694703470571	19.616495488705972	ENSMUST00000001280.13	0.0183673182628959	-1.576907260136986	1.9936556409520376e-6
Gramd1a	ENSMUSG00000001248	-1.5633287147513162	4.2625659321557605e-14	0.47538780644081524	1.4049370780566952	ENSMUST00000185589.1	0.0183673182628959	-1.576907260136986	1.9936556409520376e-6
Gramd1a	ENSMUSG00000001248	-2.0344715516737604	4.2625659321557605e-14	1.0885179132251235	4.459360090749139	ENSMUST00000185514.6	0.0183673182628959	-1.576907260136986	1.9936556409520376e-6
Dpy19l3	ENSMUSG00000043671	-1.1881158029062882	0.006306008744233833	2.305585365060541	5.253390709935216	ENSMUST00000051377.14	2.18169227349514e-6	-1.1377465092188217	0.0012588765297482877
Cd33	ENSMUSG00000004609	-2.3636876409864254	2.981027844870147e-7	1.2387012294779984	6.375400159592921	ENSMUST00000205503.1	0.0335111673565629	-2.4472950130890894	8.154925232212958e-4
Tjp1	ENSMUSG00000030516	1.379859145696664	0.006717667530690588	10.446451819353985	4.014115023432221	ENSMUST00000102592.9	0.00159070110757496	1.4073475981827874	6.168026726918523e-6
Tjp1	ENSMUSG00000030516	1.643851401635393	0.006717667530690588	8.17206867921639	2.615070656454345	ENSMUST00000032729.7	0.00159070110757496	1.4073475981827874	6.168026726918523e-6
Tjp1	ENSMUSG00000030516	1.856161637692516	0.006717667530690588	2.90108883826524	0.8013102505861925	ENSMUST00000206612.1	0.00159070110757496	1.4073475981827874	6.168026726918523e-6
Lrrc28	ENSMUSG00000030556	1.3724262969467549	0	1.9326020365547196	0.7464503923343501	ENSMUST00000187953.7	5.414776138797e-4	1.2356758243072128	5.596919884865665e-4
Lrrc28	ENSMUSG00000030556	7.463174532681447	0	1.8552058143461756	0.010513630252933092	ENSMUST00000190115.6	5.414776138797e-4	1.2356758243072128	5.596919884865665e-4
Lrrc28	ENSMUSG00000030556	4.652735805938958	0	1.1420806808703123	0.045402915937890975	ENSMUST00000190276.6	5.414776138797e-4	1.2356758243072128	5.596919884865665e-4
Lrrc28	ENSMUSG00000030556	2.836900604200644	0	1.1858022264151176	0.16596636602243242	ENSMUST00000191386.1	5.414776138797e-4	1.2356758243072128	5.596919884865665e-4
Arrdc4	ENSMUSG00000042659	-1.7287242521984765	5.831486091322582e-7	3.337894902231217	11.062938864005172	ENSMUST00000048068.14	0.0030725241520753	-1.7128333791136923	6.0757554404852945e-6
Arrdc4	ENSMUSG00000042659	-2.3220512387403387	5.831486091322582e-7	0.4070095321690371	2.03522137344453	ENSMUST00000118110.2	0.0030725241520753	-1.7128333791136923	6.0757554404852945e-6
Aen	ENSMUSG00000030609	1.6379859720687575	0	7.276601490345423	2.338006320966968	ENSMUST00000123824.1	0.00152130027372126	1.3537427466734906	1.0285854882183044e-6
Aen	ENSMUSG00000030609	1.1192304691392057	0	6.576315846925758	3.027336659655368	ENSMUST00000107425.7	0.00152130027372126	1.3537427466734906	1.0285854882183044e-6
Aen	ENSMUSG00000030609	1.0514326325985859	0	50.63428526676472	24.43047568559288	ENSMUST00000107421.7	0.00152130027372126	1.3537427466734906	1.0285854882183044e-6
Aen	ENSMUSG00000030609	1.247420223366914	0	8.112753958014174	3.4170977349054286	ENSMUST00000172017.1	0.00152130027372126	1.3537427466734906	1.0285854882183044e-6
Aen	ENSMUSG00000030609	7.177272378918888	0	12.39485162152241	0.0856381070587297	ENSMUST00000206661.1	0.00152130027372126	1.3537427466734906	1.0285854882183044e-6
Il16	ENSMUSG00000001741	-1.589039868055741	1.7277530757438226e-13	15.795201713182173	47.51971650397481	ENSMUST00000145610.7	0.00989545121382966	-1.4705060768410316	1.8708000961279804e-7
Serpinh1	ENSMUSG00000070436	-8.365822200467656	1.9277049394403368e-13	0.0065741032106112745	2.1687022935826716	ENSMUST00000094154.5	0.0281897443043074	-2.1313329750025343	5.229243810967716e-4
Fchsd2	ENSMUSG00000030691	-1.0910538650732822	9.462823933429717e-4	8.627312232150418	18.378728246574127	ENSMUST00000098250.9	0.00307392759739023	-1.1166908806429428	2.221978068991511e-5
Trim3	ENSMUSG00000036989	-1.2618869715818346	0.008654588252534859	1.1171748559504935	2.679088018652579	ENSMUST00000106789.7	0.00330288295069956	-1.0317804283775245	4.8507941984578766e-4
Trim3	ENSMUSG00000036989	-3.678087410268116	0.008654588252534859	0.18442866918240686	2.3607123368115444	ENSMUST00000154218.1	0.00330288295069956	-1.0317804283775245	4.8507941984578766e-4
Il4ra	ENSMUSG00000030748	-1.3369363864361719	0.004309655910812778	4.569807653729264	11.543988230846171	ENSMUST00000206846.1	0.00795312744599641	-1.0483135739457783	8.236697886569793e-6
Coro1a	ENSMUSG00000030707	-1.4292202002853571	7.21848055584027e-15	141.0980952021095	379.9787428791651	ENSMUST00000032949.13	0.0127542092942992	-1.3115578534164287	8.675932170321216e-8
Coro1a	ENSMUSG00000030707	-1.0022274806493643	7.21848055584027e-15	0.9388223914602518	1.8805460529267126	ENSMUST00000133718.7	0.0127542092942992	-1.3115578534164287	8.675932170321216e-8
Coro1a	ENSMUSG00000030707	-1.5971181385318245	7.21848055584027e-15	1.9902282117250891	6.021204041192036	ENSMUST00000140896.1	0.0127542092942992	-1.3115578534164287	8.675932170321216e-8
Coro1a	ENSMUSG00000030707	-1.4769803705090359	7.21848055584027e-15	6.764198601668432	18.829194640578734	ENSMUST00000131415.7	0.0127542092942992	-1.3115578534164287	8.675932170321216e-8
Coro1a	ENSMUSG00000030707	-1.4970015126594876	7.21848055584027e-15	1.0256378531930146	2.8949188879020005	ENSMUST00000135087.7	0.0127542092942992	-1.3115578534164287	8.675932170321216e-8
Coro1a	ENSMUSG00000030707	-1.3533865986485882	7.21848055584027e-15	0.9669491776266828	2.4706635626464255	ENSMUST00000126193.1	0.0127542092942992	-1.3115578534164287	8.675932170321216e-8
Zg16	ENSMUSG00000049350	-1.4305738857314232	0.007914475848090276	2.056366046999419	5.543015272147603	ENSMUST00000051122.6	4.81277487055506e-8	-1.3730575814385024	0.004351582839678105
Zg16	ENSMUSG00000049350	-1.5064743257609636	0.007914475848090276	1.5151955293305615	4.3048957621676225	ENSMUST00000205559.1	4.81277487055506e-8	-1.3730575814385024	0.004351582839678105
Uros	ENSMUSG00000030979	1.6624605145847957	5.34305514757815e-4	18.334821431117074	5.791968657720859	ENSMUST00000106146.7	0.0127265359134956	1.2345743831342162	6.7425281950167816e-6
Uros	ENSMUSG00000030979	1.109043470304617	5.34305514757815e-4	12.699856228757096	5.887669909387706	ENSMUST00000106145.9	0.0127265359134956	1.2345743831342162	6.7425281950167816e-6
Uros	ENSMUSG00000030979	2.637906910099813	5.34305514757815e-4	3.1184276831995597	0.5010102043149135	ENSMUST00000153698.2	0.0127265359134956	1.2345743831342162	6.7425281950167816e-6
Uros	ENSMUSG00000030979	2.099000781952997	5.34305514757815e-4	1.810377206646511	0.42257799360348014	ENSMUST00000151348.1	0.0127265359134956	1.2345743831342162	6.7425281950167816e-6
Ptdss2	ENSMUSG00000025495	1.4150319837300325	0	11.279130568348254	4.229690133573504	ENSMUST00000174373.7	0.00137493233555239	1.0132055593981635	6.806788030010555e-5
